"","total","anchor"
"425",20,7
"426",13,5
"427",19,8
"428",17,4
"429",17,6
"430",23,7
"431",25,7
"432",22,6
"433",17,4
"434",17,5
"435",28,9
"436",17,6
"437",15,4
"438",16,5
"439",29,10
"440",22,6
"441",24,8
"442",15,4
"443",17,5
"444",32,9
"445",22,9
"446",18,5
"447",16,6
"448",18,6
"449",14,4
"450",23,8
"451",19,7
"452",12,4
"453",33,11
"454",14,2
"455",17,5
"456",16,7
"457",28,7
"458",21,7
"459",20,4
"460",20,8
"461",10,4
"462",21,7
"463",26,7
"464",14,5
"465",12,3
"466",21,6
"467",26,8
"468",18,4
"469",19,6
"470",19,4
"471",14,5
"472",17,7
"473",26,9
"474",18,7
"475",12,6
"476",22,6
"477",25,8
"478",18,3
"479",24,10
"480",11,2
"481",17,3
"482",23,6
"483",24,7
"484",19,6
"485",14,7
"486",15,4
"487",23,3
"488",22,6
"489",16,3
"490",30,9
"491",19,4
"492",22,6
"493",21,5
"494",30,10
"495",14,7
"496",26,8
"497",23,8
"498",24,7
"499",30,9
"500",23,6
"501",18,6
"502",16,8
"503",13,6
"504",23,9
"505",26,10
"506",6,1
"507",12,3
"508",23,8
"509",24,9
"510",21,6
"511",17,3
"512",23,7
"513",23,7
"514",25,9
"515",16,4
"516",15,5
"517",17,5
"518",14,4
"519",16,5
"520",11,5
"521",11,3
"522",18,6
"523",22,6
"524",26,8
"525",16,5
"526",14,5
"527",11,5
"528",23,9
"529",14,4
"530",20,7
"531",14,5
"532",30,9
"533",26,7
"534",12,4
"535",23,10
"536",23,6
"537",29,9
"538",26,8
"539",33,10
"540",14,3
"541",9,2
"542",7,2
"543",11,3
"544",13,4
"545",13,5
"546",21,7
"547",30,9
"548",25,7
"549",14,6
"550",11,4
"551",14,5
"552",24,6
"553",24,9
"554",16,7
"555",14,3
"556",21,6
"557",10,3
"558",19,8
"559",25,9
"560",18,4
"561",20,7
"562",18,6
"563",14,3
"564",13,5
"565",30,10
"566",16,5
"567",20,7
"568",29,9
"569",10,3
"570",33,10
"571",18,5
"572",22,8
"573",25,7
"574",10,3
"575",30,11
"576",12,3
"577",33,10
"578",5,1
"579",14,3
"580",13,5
"581",22,8
"582",17,8
"583",16,5
"584",12,2
"585",15,5
"586",15,6
"587",19,7
"588",21,5
"589",14,6
"590",28,7
"591",14,4
"592",23,7
"593",8,2
"594",19,6
"595",33,10
"596",27,10
"597",27,7
"598",7,1
"599",12,3
"600",19,6
"601",26,9
"602",28,9
"603",17,6
"604",23,7
"605",31,9
"606",12,4
"607",17,6
"608",6,3
"609",24,8
"610",15,4
"611",30,10
"612",26,6
"613",19,4
"614",12,3
"615",10,3
"616",33,11
"617",20,8
"618",22,7
"619",21,6
"620",15,5
"621",24,7
"622",14,6
"623",7,4
"624",20,6
"625",11,4
"626",26,6
"627",17,8
"628",30,9
"629",17,4
"630",22,4
"631",31,9
"632",9,3
"633",19,5
"634",18,6
"635",15,5
"636",17,8
"637",25,8
"638",13,5
"639",24,9
"640",7,2
"641",19,8
"642",12,5
"643",25,8
"644",16,5
"645",19,6
"646",10,6
"647",8,1
"648",19,5
"649",27,10
"650",25,8
"651",27,8
"652",11,4
"653",6,1
"654",25,8
"655",6,2
"656",6,1
"657",17,6
"658",22,7
"659",20,5
"660",30,10
"661",29,10
"662",8,2
"663",20,5
"664",12,5
"665",13,6
"666",10,5
"667",14,5
"668",20,8
"669",19,6
"670",18,5
"671",18,6
"672",16,2
"673",13,6
"674",9,2
"675",14,5
"676",15,5
"677",27,8
"678",18,3
"679",27,8
"680",21,4
"681",9,4
"682",22,9
"683",20,6
"684",6,1
"685",15,6
"686",20,8
"687",9,5
"688",9,3
"689",13,3
"690",23,8
"691",23,6
"692",11,3
"693",15,7
"694",21,6
"695",18,4
"696",28,9
"697",5,1
"698",10,3
"699",14,3
"700",16,3
"701",22,7
"702",15,4
"703",14,4
"704",26,8
"705",31,10
"706",7,3
"707",29,7
"708",16,6
"709",12,4
"710",20,6
"711",27,10
"712",16,4
"713",10,2
"714",11,3
"715",21,7
"716",25,7
"717",18,4
"718",8,0
"719",14,5
"720",15,4
"721",30,9
"722",29,9
"723",17,7
"724",13,4
"725",30,8
"726",23,6
"727",23,8
"728",13,6
"729",24,9
"730",11,3
"731",18,6
"732",25,7
"733",29,10
"734",18,4
"735",25,8
"736",27,9
"737",6,3
"738",19,4
"739",26,9
"740",7,2
"741",23,8
"742",21,8
"743",22,7
"744",23,7
"745",12,4
"746",14,6
"747",15,4
"748",21,6
"749",13,3
"750",17,7
"751",13,3
"752",14,4
"753",14,5
"754",28,8
"755",25,8
"756",14,4
"757",9,2
"758",22,6
"759",17,5
"760",23,7
"761",20,7
"762",18,4
"763",25,10
"764",19,7
"765",12,3
"766",10,6
"767",22,7
"768",23,4
"769",24,5
"770",19,8
"771",14,5
"772",25,10
"773",20,7
"774",25,8
"775",34,12
"776",14,4
"777",22,6
"778",17,7
"779",27,10
"780",26,8
"781",30,12
"782",15,5
"783",9,4
"784",30,8
"785",18,6
"786",12,3
"787",32,9
"788",27,8
"789",33,10
"790",24,9
"791",13,5
"792",7,1
"793",23,9
"794",14,3
"795",17,6
"796",22,8
"797",20,7
"798",23,5
"799",11,3
"800",20,5
"801",15,6
"802",21,7
"803",33,11
"804",31,11
"805",27,8
"806",17,3
"807",16,6
"808",14,4
"809",19,6
"810",13,3
"811",10,4
"812",14,4
"813",13,5
"814",17,5
"815",18,6
"816",22,6
"817",27,7
"818",19,5
"819",27,8
"820",7,2
"821",27,7
"822",14,4
"823",29,10
"824",25,9
"825",15,5
"826",19,4
"827",29,10
"828",12,3
"829",31,10
"830",13,5
"831",21,7
"832",10,0
"833",8,2
"834",8,5
"835",11,4
"836",30,11
"837",27,10
"838",7,3
"839",16,5
"840",12,3
"841",12,3
"842",14,7
"843",33,12
"844",20,8
"845",25,6
"846",16,6
"847",26,7
"848",9,2
"849",19,4
"850",14,3
"851",15,5
"852",7,4
"853",20,5
"854",21,7
"855",10,5
"856",22,7
"857",22,7
"858",18,4
"859",8,1
"860",15,5
"861",28,9
"862",24,9
"863",12,5
"864",12,5
"865",30,9
"866",13,5
"867",16,6
"868",34,10
"869",20,6
"870",8,5
"871",24,9
"872",11,3
"873",15,4
"874",24,10
"875",21,7
"876",18,6
"877",21,7
"878",14,3
"879",15,5
"880",8,3
"881",25,8
"882",11,5
"883",14,6
"884",25,8
"885",22,5
"886",12,3
"887",18,7
"888",25,8
"889",6,2
"890",19,6
"891",15,5
"892",7,5
"893",17,7
"894",10,2
"895",20,9
"896",11,3
"897",17,5
"898",11,6
"899",19,6
"900",17,3
"901",22,6
"902",17,5
"903",15,5
"904",25,8
"905",23,7
"906",17,5
"907",22,6
"908",9,2
"909",29,10
"910",23,5
"911",10,4
"912",9,1
"913",17,3
"914",19,6
"915",33,11
"916",20,7
"917",16,2
"918",10,1
"919",12,4
"920",14,6
"921",27,8
"922",36,12
"923",29,8
"924",27,9
"925",23,7
"926",23,7
"927",9,3
"928",11,2
"929",21,7
"930",30,9
"931",30,10
"932",11,6
"933",12,4
"934",21,7
"935",24,6
"936",20,5
"937",25,7
"938",25,8
"939",11,4
"940",24,7
"941",23,7
"942",12,4
"943",25,8
"944",15,5
"945",22,6
"946",4,0
"947",11,6
"948",7,2
"949",8,2
"950",12,2
"951",18,7
"952",23,7
"953",17,5
"954",6,3
"955",26,9
"956",18,4
"957",28,7
"958",23,7
"959",21,6
"960",19,5
"961",14,7
"962",25,6
"963",7,1
"964",30,11
"965",11,2
"966",29,9
"967",15,5
"968",12,4
"969",10,5
"970",29,8
"971",24,7
"972",32,10
"973",16,5
"974",23,8
"975",15,6
"976",9,2
"977",27,8
"978",17,7
"979",17,5
"980",12,4
"981",17,4
"982",15,4
"983",27,9
"984",19,7
"985",14,4
"986",18,5
"987",16,4
"988",16,4
"989",12,3
"990",22,7
"991",19,6
"992",21,6
"993",8,2
"994",8,1
"995",21,5
"996",14,4
"997",7,2
"998",8,2
"999",19,5
"1000",8,4
"1001",12,4
"1002",14,4
"1003",11,4
"1004",10,5
"1005",10,4
"1006",30,9
"1007",8,3
"1008",25,7
"1009",19,6
"1010",28,7
"1011",16,5
"1012",21,5
"1013",12,5
"1014",14,3
"1015",28,8
"1016",17,7
"1017",17,6
"1018",26,7
"1019",16,6
"1020",14,3
"1021",16,5
"1022",10,4
"1023",17,6
"1024",30,9
"1025",20,6
"1026",13,3
"1027",8,0
"1028",15,6
"1029",24,5
"1030",22,7
"1031",20,7
"1032",13,4
"1033",15,7
"1034",18,6
"1035",14,4
"1036",10,2
"1037",28,9
"1038",33,11
"1039",23,7
"1040",21,5
"1041",29,10
"1042",27,8
"1043",16,6
"1044",20,6
"1045",27,10
"1046",18,7
"1047",29,10
"1048",11,3
"1049",28,7
"1050",20,6
"1051",17,4
"1052",13,4
"1053",6,2
"1054",4,0
"1055",17,7
"1056",14,5
"1057",15,3
"1058",10,4
"1059",10,4
"1060",14,4
"1061",15,6
"1062",10,3
"1063",24,6
"1064",19,4
"1065",10,4
"1066",19,6
"1067",13,4
"1068",11,3
"1069",31,7
"1070",25,8
"1071",21,6
"1072",30,8
"1073",19,6
"1074",32,12
"1075",25,9
"1076",35,11
"1077",31,9
"1078",18,4
"1079",17,5
"1080",18,5
"1081",22,6
"1082",16,5
"1083",24,7
"1084",22,7
"1085",8,3
"1086",15,3
"1087",24,7
"1088",11,2
"1089",30,10
"1090",17,6
"1091",24,7
"1092",7,3
"1093",19,7
"1094",28,9
"1095",18,4
"1096",5,0
"1097",33,11
"1098",6,1
"1099",16,6
"1100",7,4
"1101",29,9
"1102",24,9
"1103",20,7
"1104",24,8
"1105",33,9
"1106",33,12
"1107",15,6
"1108",12,6
"1109",11,5
"1110",15,7
"1111",16,3
"1112",12,3
"1113",29,9
"1114",13,4
"1115",28,8
"1116",21,6
"1117",24,8
"1118",16,6
"1119",17,7
"1120",10,4
"1121",19,3
"1122",30,9
"1123",20,7
"1124",29,9
"1125",17,6
"1126",15,5
"1127",24,7
"1128",32,9
"1129",14,5
"1130",16,6
"1131",12,3
"1132",13,2
"1133",33,9
"1134",18,4
"1135",21,6
"1136",24,7
"1137",17,6
"1138",28,8
"1139",13,3
"1140",24,6
"1141",24,6
"1142",16,5
"1143",23,7
"1144",23,8
"1145",18,6
"1146",14,3
"1147",29,11
"1148",27,8
"1149",12,4
"1150",18,5
"1151",9,2
"1152",14,4
"1153",13,5
"1154",12,5
"1155",19,7
"1156",20,5
"1157",15,5
"1158",31,10
"1159",19,6
"1160",24,7
"1161",19,7
"1162",25,9
"1163",11,4
"1164",19,5
"1165",13,3
"1166",15,5
"1167",16,5
"1168",13,4
"1169",22,8
"1170",10,1
"1171",15,5
"1172",19,4
"1173",6,3
"1174",25,7
"1175",7,4
"1176",27,8
"1177",28,9
"1178",11,5
"1179",18,6
"1180",16,4
"1181",13,2
"1182",8,3
"1183",21,7
"1184",30,9
"1185",33,10
"1186",22,7
"1187",17,7
"1188",22,6
"1189",12,4
"1190",15,8
"1191",12,2
"1192",22,6
"1193",13,2
"1194",11,5
"1195",17,6
"1196",15,8
"1197",11,4
"1198",12,3
"1199",13,5
"1200",32,8
"1201",13,5
"1202",23,7
"1203",27,8
"1204",25,8
"1205",25,5
"1206",32,11
"1207",16,4
"1208",28,8
"1209",6,2
"1210",16,2
"1211",26,8
"1212",19,6
"1213",28,10
"1214",33,11
"1215",24,10
"1216",7,2
"1217",10,1
"1218",29,10
"1219",25,7
"1220",27,8
"1221",14,6
"1222",14,6
"1223",26,7
"1224",22,6
"1225",33,9
"1226",21,8
"1227",23,7
"1228",18,7
"1229",14,7
"1230",16,3
"1231",15,3
"1232",17,6
"1233",17,5
"1234",29,8
"1235",26,7
"1236",17,7
"1237",22,6
"1238",30,9
"1239",5,0
"1240",27,8
"1241",27,9
"1242",17,5
"1243",14,4
"1244",21,7
"1245",29,10
"1246",15,4
"1247",19,8
"1248",12,5
"1249",19,5
"1250",29,8
"1251",20,5
"1252",17,5
"1253",15,4
"1254",18,5
"1255",11,6
"1256",27,8
"1257",19,7
"1258",33,11
"1259",14,4
"1260",10,4
"1261",17,6
"1262",12,4
"1263",14,6
"1264",13,4
"1265",24,8
"1266",15,4
"1267",29,11
"1268",10,2
"1269",20,7
"1270",17,6
"1271",9,4
"1272",12,4
"1273",14,5
"1274",17,5
"1275",11,4
"1276",14,4
"1277",23,9
"1278",27,8
"1279",16,5
"1280",17,4
"1281",21,8
"1282",16,6
"1283",12,7
"1284",29,9
"1285",27,7
"1286",17,3
"1287",15,4
"1288",21,7
"1289",23,6
"1290",24,7
"1291",8,4
"1292",24,8
"1293",31,9
"1294",10,3
"1295",29,10
"1296",10,4
"1297",17,5
"1298",8,3
"1299",19,5
"1300",19,6
"1301",31,10
"1302",19,5
"1303",20,5
"1304",27,8
"1305",24,6
"1306",23,8
"1307",25,8
"1308",11,3
"1309",23,7
"1310",22,5
"1311",25,8
"1312",6,1
"1313",30,9
"1314",23,7
"1315",10,4
"1316",10,4
"1317",14,5
"1318",15,5
"1319",20,7
"1320",29,9
"1321",9,2
"1322",12,3
"1323",16,5
"1324",29,10
"1325",21,7
"1326",17,4
"1327",20,7
"1328",9,2
"1329",18,8
"1330",17,6
"1331",17,5
"1332",13,5
"1333",22,7
"1334",16,7
"1335",21,7
"1336",20,5
"1337",10,2
"1338",27,6
"1339",21,8
"1340",10,3
"1341",20,6
"1342",15,6
"1343",9,3
"1344",18,5
"1345",23,6
"1346",25,9
"1347",17,6
"1348",15,5
"1349",26,9
"1350",23,8
"1351",25,7
"1352",22,7
"1353",24,7
"1354",21,7
"1355",16,5
"1356",26,7
"1357",25,7
"1358",19,8
"1359",15,3
"1360",27,9
"1361",25,8
"1362",13,5
"1363",8,4
"1364",12,4
"1365",15,6
"1366",22,7
"1367",19,6
"1368",27,8
"1369",12,3
"1370",20,7
"1371",26,9
"1372",27,10
"1373",15,6
"1374",25,8
"1375",16,7
"1376",12,2
"1377",18,6
"1378",23,8
"1379",34,12
"1380",24,8
"1381",9,0
"1382",15,5
"1383",25,7
"1384",22,5
"1385",9,2
"1386",17,4
"1387",24,9
"1388",31,10
"1389",13,3
"1390",20,4
"1391",15,6
"1392",17,2
"1393",24,8
"1394",9,3
"1395",22,7
"1396",12,3
"1397",17,6
"1398",19,5
"1399",17,5
"1400",20,6
"1401",9,4
"1402",27,9
"1403",26,8
"1404",10,4
"1405",6,2
"1406",28,8
"1407",13,6
"1408",14,5
"1409",32,11
"1410",11,5
"1411",20,7
"1412",29,11
"1413",9,4
"1414",19,7
"1415",12,5
"1416",21,6
"1417",12,6
"1418",18,6
"1419",7,2
"1420",24,9
"1421",5,2
"1422",15,4
"1423",28,10
"1424",26,9
"1425",16,4
"1426",9,5
"1427",13,3
"1428",18,3
"1429",21,5
"1430",10,2
"1431",9,3
"1432",17,4
"1433",15,7
"1434",14,5
"1435",7,1
"1436",20,6
"1437",6,2
"1438",18,3
"1439",17,5
"1440",11,5
"1441",25,8
"1442",20,6
"1443",8,2
"1444",10,4
"1445",33,10
"1446",10,3
"1447",29,9
"1448",17,7
"1449",14,5
"1450",19,4
"1451",23,9
"1452",23,10
"1453",18,5
"1454",23,7
"1455",20,6
"1456",18,5
"1457",17,7
"1458",28,11
"1459",8,2
"1460",33,10
"1461",27,8
"1462",18,6
"1463",30,10
"1464",25,7
"1465",16,7
"1466",17,6
"1467",21,6
"1468",19,7
"1469",6,0
"1470",20,8
"1471",11,3
"1472",10,1
"1473",12,4
"1474",22,6
"1475",30,11
"1476",8,1
"1477",15,4
"1478",13,5
"1479",15,6
"1480",15,2
"1481",18,4
"1482",10,3
"1483",8,2
"1484",21,7
"1485",22,7
"1486",30,10
"1487",15,4
"1488",19,5
"1489",15,2
"1490",23,7
"1491",24,8
"1492",26,9
"1493",5,2
"1494",11,3
"1495",11,2
"1496",16,6
"1497",18,8
"1498",12,4
"1499",15,2
"1500",12,3
"1501",14,4
"1502",14,6
"1503",16,5
"1504",12,3
"1505",26,7
"1506",22,7
"1507",14,6
"1508",10,3
"1509",19,7
"1510",17,5
"1511",24,7
"1512",19,7
"1513",15,6
"1514",24,7
"1515",7,2
"1516",15,3
"1517",15,7
"1518",30,9
"1519",17,7
"1520",9,2
"1521",25,7
"1522",18,5
"1523",23,8
"1524",27,9
"1525",24,9
"1526",21,8
"1527",30,9
"1528",21,8
"1529",10,3
"1530",27,9
"1531",18,6
"1532",17,6
"1533",32,10
"1534",18,5
"1535",26,10
"1536",5,4
"1537",18,6
"1538",26,8
"1539",8,5
"1540",12,3
"1541",14,1
"1542",20,6
"1543",26,7
"1544",26,9
"1545",11,2
"1546",13,6
"1547",7,2
"1548",13,4
"1549",11,3
"1550",22,5
"1551",19,5
"1552",21,6
"1553",14,4
"1554",10,4
"1555",18,7
"1556",16,6
"1557",10,3
"1558",9,2
"1559",9,4
"1560",8,3
"1561",10,4
"1562",13,5
"1563",25,6
"1564",34,11
"1565",19,7
"1566",8,4
"1567",17,5
"1568",25,8
"1569",15,4
"1570",15,5
"1571",17,4
"1572",14,4
"1573",13,3
"1574",17,6
"1575",30,11
"1576",12,3
"1577",16,5
"1578",18,7
"1579",32,11
"1580",13,6
"1581",27,8
"1582",22,7
"1583",25,7
"1584",30,10
"1585",19,3
"1586",22,7
"1587",16,4
"1588",26,8
"1589",19,5
"1590",25,8
"1591",20,6
"1592",22,7
"1593",19,5
"1594",22,9
"1595",27,8
"1596",11,3
"1597",25,8
"1598",31,10
"1599",10,3
"1600",16,3
"1601",9,1
"1602",21,5
"1603",17,7
"1604",28,10
"1605",24,6
"1606",24,8
"1607",21,9
"1608",17,5
"1609",21,7
"1610",32,10
"1611",23,6
"1612",16,6
"1613",32,10
"1614",17,5
"1615",25,8
"1616",26,8
"1617",27,8
"1618",32,11
"1619",9,3
"1620",33,11
"1621",28,10
"1622",24,7
"1623",18,6
"1624",27,8
"1625",11,1
"1626",23,7
"1627",6,1
"1628",22,5
"1629",24,8
"1630",8,3
"1631",23,9
"1632",31,10
"1633",20,6
"1634",11,3
"1635",15,4
"1636",14,6
"1637",28,9
"1638",14,6
